Country,Type,Value,Year
Australia,FDEI,-,1998
Australia,FDEI,-,1999
Australia,FDEI,-,2000
Australia,FDEI,-,2001
Australia,FDEI,-,2002
Australia,FDEI,-,2003
Australia,FDEI,-,2004
Australia,FDEI,-,2005
Australia,FDEI,-,2006
Australia,FDEI,-,2007
Australia,FDEI,3091.8,2008
Australia,FDEI,3287.6,2009
Australia,FDEI,5119.6,2010
Australia,FDEI,6172.4,2011
Australia,FDEI,7786.6,2012
Australia,FDI,3734.4,1998
Australia,FDI,3107.5,1999
Australia,FDI,3227.1,2000
Australia,FDI,2629.3,2001
Australia,FDI,2498.6,2002
Australia,FDI,2069.9,2003
Australia,FDI,2674.3,2004
Australia,FDI,2846.9,2005
Australia,FDI,3318.7,2006
Australia,FDI,4615.2,2007
Australia,FDI,4572.7,2008
Australia,FDI,5999.6,2009
Australia,FDI,7978.8,2010
Australia,FDI,9250.4,2011
Australia,FDI,10335.9,2012
Australia,FEI,-,1998
Australia,FEI,-,1999
Australia,FEI,-,2000
Australia,FEI,-,2001
Australia,FEI,-,2002
Australia,FEI,-,2003
Australia,FEI,-,2004
Australia,FEI,-,2005
Australia,FEI,-,2006
Australia,FEI,-,2007
Australia,FEI,3573.6,2008
Australia,FEI,3711.5,2009
Australia,FEI,5799.0,2010
Australia,FEI,6773.3,2011
Australia,FEI,8380.1,2012
Australia,FPEI,-,1998
Australia,FPEI,-,1999
Australia,FPEI,-,2000
Australia,FPEI,-,2001
Australia,FPEI,-,2002
Australia,FPEI,-,2003
Australia,FPEI,-,2004
Australia,FPEI,-,2005
Australia,FPEI,-,2006
Australia,FPEI,-,2007
Australia,FPEI,481.8,2008
Australia,FPEI,423.9,2009
Australia,FPEI,679.4,2010
Australia,FPEI,600.9,2011
Australia,FPEI,593.5,2012
Brunei Darussalam,FDEI,-,1998
Brunei Darussalam,FDEI,-,1999
Brunei Darussalam,FDEI,-,2000
Brunei Darussalam,FDEI,-,2001
Brunei Darussalam,FDEI,-,2002
Brunei Darussalam,FDEI,-,2003
Brunei Darussalam,FDEI,-,2004
Brunei Darussalam,FDEI,-,2005
Brunei Darussalam,FDEI,-,2006
Brunei Darussalam,FDEI,-,2007
Brunei Darussalam,FDEI,240.2,2008
Brunei Darussalam,FDEI,261.1,2009
Brunei Darussalam,FDEI,235.7,2010
Brunei Darussalam,FDEI,275.8,2011
Brunei Darussalam,FDEI,306.2,2012
Brunei Darussalam,FDI,177.2,1998
Brunei Darussalam,FDI,292.0,1999
Brunei Darussalam,FDI,312.6,2000
Brunei Darussalam,FDI,351.1,2001
Brunei Darussalam,FDI,362.9,2002
Brunei Darussalam,FDI,341.2,2003
Brunei Darussalam,FDI,357.9,2004
Brunei Darussalam,FDI,380.7,2005
Brunei Darussalam,FDI,309.1,2006
Brunei Darussalam,FDI,283.7,2007
Brunei Darussalam,FDI,297.0,2008
Brunei Darussalam,FDI,317.9,2009
Brunei Darussalam,FDI,292.5,2010
Brunei Darussalam,FDI,336.2,2011
Brunei Darussalam,FDI,367.9,2012
Brunei Darussalam,FEI,-,1998
Brunei Darussalam,FEI,-,1999
Brunei Darussalam,FEI,-,2000
Brunei Darussalam,FEI,-,2001
Brunei Darussalam,FEI,-,2002
Brunei Darussalam,FEI,-,2003
Brunei Darussalam,FEI,-,2004
Brunei Darussalam,FEI,-,2005
Brunei Darussalam,FEI,-,2006
Brunei Darussalam,FEI,-,2007
Brunei Darussalam,FEI,244.0,2008
Brunei Darussalam,FEI,267.9,2009
Brunei Darussalam,FEI,245.5,2010
Brunei Darussalam,FEI,285.6,2011
Brunei Darussalam,FEI,315.9,2012
Brunei Darussalam,FPEI,-,1998
Brunei Darussalam,FPEI,-,1999
Brunei Darussalam,FPEI,-,2000
