Type,Year,Percentage,FEI to FDI,Percentage to FDI,Value
FDEI,2008,90.74529039,96.09279705,87.19968773,87.20
FDEI,2009,91.01913779,97.98729387,89.18719002,89.19
FDEI,2010,90.61822234,96.96490999,87.86787772,87.87
FDEI,2011,90.10306896,97.66143744,87.99595233,88.00
FDEI,2012,90.99471527,98.22217984,89.37699288,89.38
FPEI,2008,9.254709605,96.09279705,8.893109318,8.89
FPEI,2009,8.98086221,97.98729387,8.800103846,8.80
FPEI,2010,9.381777662,96.96490999,9.097032265,9.10
FPEI,2011,9.896931037,97.66143744,9.665485113,9.67
FPEI,2012,9.00528473,98.22217984,8.845186963,8.85
Other,2008,100,96.09279705,3.907202951,3.91
Other,2009,100,97.98729387,2.012706132,2.01
Other,2010,100,96.96490999,3.03509001,3.04
Other,2011,100,97.66143744,2.33856256,2.34
Other,2012,100,98.22217984,1.777820157,1.78
