Industry,Type,Year,Value
Accommodation & Food Service Activities,FEI,2008,2991.5
Accommodation & Food Service Activities,FDEI,2008,2911.2
Accommodation & Food Service Activities,FPEI,2008,80.3
Accommodation & Food Service Activities,FDI,2008,3355.6
Banks,FEI,2008,15184.8
Banks,FDEI,2008,11922
Banks,FPEI,2008,3262.8
Banks,FDI,2008,13057.9
Basic Metals,FEI,2008,492.8
Basic Metals,FDEI,2008,486.9
Basic Metals,FPEI,2008,5.9
Basic Metals,FDI,2008,487.3
Chemicals & Chemical Products,FEI,2008,7024.9
Chemicals & Chemical Products,FDEI,2008,7005.8
Chemicals & Chemical Products,FPEI,2008,19.1
Chemicals & Chemical Products,FDI,2008,7092.5
"Computer, Electronic and Optical Products",FEI,2008,33232.4
"Computer, Electronic and Optical Products",FDEI,2008,31479.2
"Computer, Electronic and Optical Products",FPEI,2008,1753.2
"Computer, Electronic and Optical Products",FDI,2008,33295.7
Computers and Peripheral Equipment,FEI,2008,9319.3
Computers and Peripheral Equipment,FDEI,2008,9319.3
Computers and Peripheral Equipment,FPEI,2008,0
Computers and Peripheral Equipment,FDI,2008,9525.9
Construction,FEI,2008,2075.9
Construction,FDEI,2008,1999.3
Construction,FPEI,2008,76.6
Construction,FDI,2008,1915.8
Electrical Machinery & Apparatus,FEI,2008,1037.7
Electrical Machinery & Apparatus,FDEI,2008,999.2
Electrical Machinery & Apparatus,FPEI,2008,38.5
Electrical Machinery & Apparatus,FDI,2008,1211.2
Fabricated Metal Products,FEI,2008,1569.9
Fabricated Metal Products,FDEI,2008,1540.7
Fabricated Metal Products,FPEI,2008,29.2
Fabricated Metal Products,FDI,2008,1885.5
Financial & Insurance Services,FEI,2008,214521.1
Financial & Insurance Services,FDEI,2008,176994.6
Financial & Insurance Services,FPEI,2008,37526.5
Financial & Insurance Services,FDI,2008,210126.8
Financial Services,FEI,2008,206950.9
Financial Services,FDEI,2008,169459.7
Financial Services,FPEI,2008,37491.2
Financial Services,FDI,2008,202529.9
"Food, Beverages & Tobacco",FEI,2008,1368.7
"Food, Beverages & Tobacco",FDEI,2008,1359.2
"Food, Beverages & Tobacco",FPEI,2008,9.5
"Food, Beverages & Tobacco",FDI,2008,1378.8
Freight Water Transport,FEI,2008,25994.8
Freight Water Transport,FDEI,2008,25615.6
Freight Water Transport,FPEI,2008,379.2
Freight Water Transport,FDI,2008,28197
Information & Communications,FEI,2008,5288.9
